--- first setup ---
Valid spectra: 72

--- second setup ---
Valid spectra: 72

--- third setup ---
Valid spectra: 72

=== Combined (216 total spectra) ===
                                      file               timestamp    pol  pointing_idx  az_deg
199   third setup/EOS20260311133143698.csv 2026-03-11 13:31:43.698  90deg            27    54.0
200   third setup/EOS20260311133206983.csv 2026-03-11 13:32:06.983   0deg            28    56.0
201   third setup/EOS20260311133253137.csv 2026-03-11 13:32:53.137  90deg            28    56.0
202   third setup/EOS20260311133316193.csv 2026-03-11 13:33:16.193   0deg            29    58.0
203   third setup/EOS20260311133339241.csv 2026-03-11 13:33:39.241  90deg            29    58.0
204   third setup/EOS20260311133448566.csv 2026-03-11 13:34:48.566   0deg            30    60.0
205   third setup/EOS20260311133511622.csv 2026-03-11 13:35:11.622  90deg            30    60.0
206   third setup/EOS20260311133534913.csv 2026-03-11 13:35:34.913   0deg            31    62.0
207   third setup/EOS20260311133621015.csv 2026-03-11 13:36:21.015  90deg            31    62.0
208   third setup/EOS20260311133644160.csv 2026-03-11 13:36:44.160   0deg            32    64.0
209   third setup/EOS20260311133707334.csv 2026-03-11 13:37:07.334  90deg            32    64.0
210   third setup/EOS20260311133753480.csv 2026-03-11 13:37:53.480   0deg            33    66.0
211   third setup/EOS20260311133816534.csv 2026-03-11 13:38:16.534  90deg            33    66.0
212   third setup/EOS20260311133839670.csv 2026-03-11 13:38:39.670   0deg            34    68.0
213   third setup/EOS20260311133948781.csv 2026-03-11 13:39:48.781  90deg            34    68.0
214   third setup/EOS20260311134011847.csv 2026-03-11 13:40:11.847   0deg            35    70.0
215   third setup/EOS20260311134034882.csv 2026-03-11 13:40:34.882  90deg            35    70.0
